function,n_passing,n_failing,n_suspicious_lines,n_executable_lines,pct_suspicious,top_1_line,faulty_lines,best_rank,top1_acc,top3_acc,top5_acc,sbfl_pct_suspicious,dd_pct_suspicious
ad_mix,9,3,6,51,11.8,67,[65],3,0,1,1,N/A,N/A
adjust_allocation,8,2,3,51,5.9,67,[67],1,1,1,1,N/A,N/A
adjust_portfolio,10,2,2,52,3.8,68,[68],1,1,1,1,N/A,N/A
adjust_queue,6,4,2,52,3.8,66,[66],1,1,1,1,N/A,N/A
adjust_supply,7,4,6,49,12.2,64,[64],1,1,1,1,N/A,N/A
allocate_bonus_cut,5,5,6,54,11.1,72,[72],1,1,1,1,N/A,N/A
allocate_bounty_cut,6,4,5,48,10.4,64,[64],1,1,1,1,N/A,N/A
allocate_budget_cut,5,5,6,49,12.2,67,[67],1,1,1,1,N/A,N/A
allocate_pool_cut,5,5,5,52,9.6,70,[70],1,1,1,1,N/A,N/A
allocate_prize_cut,5,5,5,57,8.8,74,[74],1,1,1,1,N/A,N/A
api_rate_guard,5,5,5,57,8.8,72,[72],1,1,1,1,N/A,N/A
attention_mask_merge,6,4,2,50,4.0,67,[67],1,1,1,1,N/A,N/A
audit_window_filter,6,4,5,53,9.4,68,[68],1,1,1,1,N/A,N/A
award_payout,6,4,2,51,3.9,67,[69],2,0,1,1,N/A,N/A
backlog_rolling_avg,6,4,3,48,6.2,59,[59],1,1,1,1,N/A,N/A
bandwidth_apportion,6,4,1,51,2.0,69,[69],1,1,1,1,N/A,N/A
bandwidth_budgeter,6,4,5,53,9.4,65,[65],1,1,1,1,N/A,N/A
bandwidth_rebalance,9,1,5,49,10.2,65,[65],1,1,1,1,N/A,N/A
batch_rate,7,3,3,51,5.9,70,[70],1,1,1,1,N/A,N/A
batch_tally,5,5,1,50,2.0,62,[61],,0,0,0,N/A,N/A
batchnorm_running_mean,3,7,1,54,1.9,70,[70],1,1,1,1,N/A,N/A
bill_payout,6,4,1,52,1.9,70,[70],1,1,1,1,N/A,N/A
billing_gate,6,4,5,58,8.6,72,[72],1,1,1,1,N/A,N/A
blend_levels,4,6,6,58,10.3,74,[74],1,1,1,1,N/A,N/A
blend_margins,4,6,7,59,11.9,73,[73],1,1,1,1,N/A,N/A
blend_orders,5,5,6,58,10.3,72,[72],1,1,1,1,N/A,N/A
blend_supplies,5,5,5,56,8.9,72,[71],3,0,1,1,N/A,N/A
budget_budgeter,7,3,5,55,9.1,68,[68],1,1,1,1,N/A,N/A
budget_mix,4,6,6,54,11.1,71,[71],1,1,1,1,N/A,N/A
bump_click,5,5,5,50,10.0,64,[63],3,0,1,1,N/A,N/A
bump_conversion,6,4,1,47,2.1,58,[57],,0,0,0,N/A,N/A
bump_job,6,4,5,44,11.4,57,[56],3,0,1,1,N/A,N/A
